,EDA_Tonic,EDA_Phasic,events
0,-1.3654470219700712,0.011528592178091481,-5
1,-1.365462412602077,0.011543982810086794,-5
2,-1.36547777370659,0.011559343914589163,-5
3,-1.3654931050889658,0.009356837956815809,-5
4,-1.3655084065541554,0.013807814102270676,-5
5,-1.3655236779067002,0.011605248114666204,-5
6,-1.3655389189507103,0.011620489158665724,-5
7,-1.3655541294898654,0.009417862357672118,-5
8,-1.3655693093274384,0.01165087953537317,-5
9,-1.365584458266315,0.009448191134101431,-5
10,-1.3655995761089987,0.011681146316913313,-5
11,-1.3656146626576045,0.011696232865508855,-5
12,-1.3656297177138537,0.007275613241472342,-5
13,-1.3656447410790986,0.007290636606706972,-5
14,-1.3656597325543722,0.009523465422107467,-5
15,-1.3656746919404128,0.007320587468000515,-5
16,-1.3656896190376584,0.00955335190537304,-5
17,-1.3657045136462362,0.009568246513940112,-5
18,-1.365719375565947,0.009583108433639678,-5
19,-1.3657342045962535,0.00738010012379788,-5
20,-1.3657490005362916,0.009612733403961921,-5
21,-1.3657637631848836,0.007409658712405423,-5
22,-1.3657784923405438,0.009642225208191368,-5
23,-1.365793187801477,0.007439083328975992,-5
24,-1.3658078493655832,0.007453744893071051,-5
25,-1.3658224768304774,0.005250535017816572,-5
26,-1.3658370699935147,0.00970080286111769,-5
27,-1.365851628651789,0.007497524179244003,-5
28,-1.3658661526021125,0.007512048129556763,-5
29,-1.3658806416410105,0.0075265371684439695,-5
30,-1.3658950955647253,0.00975882843228501,-5
31,-1.3659095141692061,0.007555409696617847,-5
32,-1.365923897250098,0.007569792777499377,-5
33,-1.3659382446027521,0.007584140130143314,-5
34,-1.3659525560222403,0.0075984515496210275,-5
35,-1.3659668313033637,0.005394889490596034,-5
36,-1.3659810702406678,0.007626965768026816,-5
37,-1.365995272628452,0.007641168155800139,-5
38,-1.3660094382607593,0.007655333788096176,-5
39,-1.3660235669313652,0.005451625118553431,-5
40,-1.3660376584337925,0.005465716620969976,-5
41,-1.3660517125613416,0.0054797707485082885,-5
42,-1.3660657291071039,0.0077116246343977325,-5
43,-1.3660797078639524,0.0055077660510978,-5
44,-1.36609364862453,0.00552170681166474,-5
45,-1.36610755118126,0.005535609368383945,-5
46,-1.3661214153263597,0.00554947351347284,-5
47,-1.3661352408518463,0.005563299038948446,-5
48,-1.3661490275495352,0.005577085736626384,-5
49,-1.366162775211045,0.003372996057987524,-5
50,-1.3661764836278076,0.007822379155014528,-5
51,-1.3661901525910662,0.0034003734379861195,-5
52,-1.366203781891876,0.0034140027387842935,-5
53,-1.3662173713211287,0.003427592168025134,-5
54,-1.3662309206695775,0.005658978856599561,-5
55,-1.3662444297278302,0.0034546505747014167,-5
56,-1.36625789828634,0.0034681191331981318,-5
57,-1.3662713261354094,0.005699384322392191,-5
58,-1.3662847130651845,0.005712771252154099,-5
59,-1.3662980588656357,0.003508279712453981,-5
60,-1.3663113633265556,0.003521584173360296,-5
61,-1.3663246262375843,0.0035348470843755055,-5
62,-1.3663378473882246,0.005765905575140364,-5
63,-1.3663510265678303,0.0035612474145945445,-5
64,-1.3663641635655965,0.0035743844123475345,-5
65,-1.3663772581705744,0.0013696416771742624,-5
66,-1.366390310171705,0.001382693678291795,-5
67,-1.3664033193578553,0.0013957028644285985,-5
68,-1.3664162855178363,0.0014086690243960923,-5
69,-1.3664292084404086,0.0014215919469547558,-5
70,-1.3664420879142813,0.0014344714208141072,-5
71,-1.366454923728113,0.0014473072346318054,-5
72,-1.366467715670509,0.0014600991770138527,-5
73,-1.3664804635300176,0.0036906843766464845,-5
74,-1.3664931670951141,0.0014855506015911644,-5
75,-1.36650582615419,0.0014982096606530881,-5
76,-1.3665184404955626,0.0015108240020118655,-5
77,-1.3665310099074954,-0.0006944439262067219,-5
78,-1.366543534178217,0.0015359176846385658,-5
79,-1.3665560130959304,0.0015483966023381104,-5
80,-1.3665684464488081,-0.0006570073849352168,-5
81,-1.3665808340249967,-0.0006446198087595653,-5
82,-1.366593175612637,0.001585559119005325,-5
83,-1.366605470999868,-0.0006199828339145987,-5
84,-1.3666177199748213,-0.0006077338589750413,-5
85,-1.3666299223256302,-0.0005955315081799667,-5
86,-1.3666420778404456,-0.0005833759933783333,-5
87,-1.3666541863074404,-0.0005712675263975283,-5
88,-1.3666662475148081,-0.0005592063190437858,-5
89,-1.3666782612507633,-0.0005471925831030625,-5
90,-1.3666902273035353,0.001682610809791995,-5
91,-1.3667021454613533,-0.0005233083725420286,-5
92,-1.3667140155124355,-0.0005114383214741228,-5
93,-1.3667258372450046,-0.0027174539290573674,-5
94,-1.366737610447312,0.00172999395351142,-5
95,-1.3667493349076365,-0.00047611892631591914,-5
96,-1.3667610104142658,-0.00046444341970129643,-5
97,-1.3667726367554889,-0.0004528170784933328,-5
98,-1.3667842137196067,-0.00044124011439090546,-5
99,-1.3667957410949414,-0.0026475500792096096,-5
100,-1.3668072186698565,-0.002636072504310012,-5
101,-1.366818646232787,-0.002624644941395313,-5
102,-1.3668300235722526,-0.0003954302618076073,-5
103,-1.3668413504768486,-0.0026019406973658114,-5
104,-1.3668526267352348,-0.002590664438995754,-5
105,-1.3668638521361454,-0.002579439038101209,-5
106,-1.3668750264683986,-0.00035042736572603317,-5
107,-1.3668861495208864,-0.002557141653392773,-5
108,-1.366897221082563,-0.002546070091732997,-5
109,-1.366908240942451,-0.0003172128917244138,-5
110,-1.3669192088896394,-0.0025240822846914687,-5
111,-1.36693012471328,-0.0025131664610684636,-5
112,-1.3669409882025951,-0.0025023029717710157,-5
113,-1.366951799146894,-0.002491492027490147,-5
114,-1.3669625573355761,-0.0024807338388259034,-5
115,-1.3669732625581317,-0.002470028616288221,-5
116,-1.3669839146041407,-0.002459376570296672,-5
117,-1.366994513263273,-0.0024487779111815565,-5
118,-1.367005058325288,-0.0024382328491836507,-5
119,-1.3670155495800385,-0.004645578934588317,-5
120,-1.3670259868174914,-0.0046351416971521855,-5
121,-1.3670363698277566,-0.004624758686903676,-5
122,-1.367046698401107,-0.004614430113569386,-5
123,-1.367056972327984,-0.0046041561867085565,-5
124,-1.3670671913989962,-0.004593937115712996,-5
125,-1.3670773554049194,-0.004583773109807034,-5
126,-1.3670874641366955,-0.004573664378048339,-5
127,-1.367097517385433,-0.004563611129328515,-5
128,-1.3671075149424066,-0.0045536135723728294,-5
129,-1.3671174565990565,-0.004543671915741043,-5
130,-1.367127342146988,-0.004533786367827575,-5
131,-1.3671371713779767,-0.0067417944769940265,-5
132,-1.3671469440839872,-0.006732021771001601,-5
